,site_identifier_code,station_name,station_state,site_time_zone,site_latitude,site_longitude,site_elevation,comfy_days_in_year,comfy_months_in_year
690150TYA,690150,TWENTYNINE PALMS,CA,-8.0,34.3,-116.167,626,134,5
690190TYA,690190,ABILENE DYESS AFB,TX,-6.0,32.433,-99.85,545,92,2
690230TYA,690230,WHIDBEY ISLAND NAS,WA,-8.0,48.35,-122.667,10,158,5
699604TYA,699604,YUMA MCAS,AZ,-7.0,32.65,-114.617,65,117,3
700197TYA,700197,SELAWIK,AK,-9.0,66.6,-160.0,8,50,1
700260TYA,700260,BARROW W POST-W ROGERS ARPT [NSA - ARM],AK,-9.0,71.32,-156.62,10,5,0
700637TYA,700637,DEADHORSE,AK,-9.0,70.2,-148.483,23,23,0
701043TYA,701043,POINT HOPE (AWOS),AK,-9.0,68.35,-166.8,4,2,0
701195TYA,701195,SHISHMAREF (AWOS),AK,-9.0,66.267,-166.05,2,10,0
701330TYA,701330,KOTZEBUE RALPH WEIN MEMORIAL,AK,-9.0,66.883,-162.6,3,41,1
